"","subject","condition","probe","lower","median","upper"
"1",1,"Full","bottom",0.11106971232705,0.147656799333089,0.184961241111226
"2",1,"Full","top",0.128067176681387,0.187850233693061,0.237021967520864
"3",1,"Top","bottom",6.46743916289256e-05,6.61069613518961e-05,0.0316795243608983
"4",1,"Top","top",0.148562591463916,0.191739033883983,0.238820760651706
"5",1,"Bottom","bottom",0.116984505129502,0.149272183146691,0.180624978136662
"6",1,"Bottom","top",0.0304961651074552,0.0699266614066319,0.108382600145601
"7",1,"Control","bottom",4.70001396255977e-05,6.61069613518961e-05,7.52376721163236e-05
"8",1,"Control","top",6.14238178852605e-05,0.0387371364919898,0.0865488994810106
"9",2,"Full","bottom",0.30927972071611,0.333145457466249,0.360139987526512
"10",2,"Full","top",0.339694104333255,0.366474921619516,0.390881259676837
"11",2,"Top","bottom",0.126947037971765,0.150550083527545,0.173915843147285
"12",2,"Top","top",0.311254605492712,0.331342440307559,0.351088853518093
"13",2,"Bottom","bottom",0.275484921329596,0.302061454351085,0.326169539394211
"14",2,"Bottom","top",0.11290348133851,0.134765607510375,0.159001524203843
"15",2,"Control","bottom",0.0158142812502493,0.0313215553884052,0.0481785545452066
"16",2,"Control","top",0.00669188318062232,0.0261848076803262,0.0468963698017878
"17",3,"Full","bottom",0.17688672742146,0.239831351827665,0.291117850048539
"18",3,"Full","top",0.274394865176734,0.30847094582823,0.346354331971577
"19",3,"Top","bottom",0.0229869579390228,0.0531196175787868,0.0785174159783761
"20",3,"Top","top",0.193904605104206,0.239141216786758,0.277890971312259
"21",3,"Bottom","bottom",0.15191345845853,0.193013110078588,0.225031763631296
"22",3,"Bottom","top",0.130800032121522,0.161163478999885,0.193158074688167
"23",3,"Control","bottom",4.19562847674216e-05,6.51168140828846e-05,0.0143055332399011
"24",3,"Control","top",0.0304279524842884,0.0554817865063223,0.0784755469103225
"25",4,"Full","bottom",0.391479164447857,0.426677075299586,0.45626043489666
"26",4,"Full","top",0.401541787050661,0.435338696947944,0.458304569493459
"27",4,"Top","bottom",0.0909768762557017,0.10313324007676,0.116759710097
"28",4,"Top","top",0.402938885928026,0.426176751658514,0.447747518922926
"29",4,"Bottom","bottom",0.449339733753508,0.508010038615087,0.52616003943345
"30",4,"Bottom","top",0.0931110256081097,0.109587129725183,0.125768590542134
"31",4,"Control","bottom",4.16880512399507e-05,5.28330806062578e-05,8.11530422674454e-05
"32",4,"Control","top",0.004128889952424,0.0207639400058308,0.036004441499443
"33",5,"Full","bottom",0.304678946489693,0.344536847923505,0.384403961220337
"34",5,"Full","top",0.30518342455343,0.34817309686997,0.407778566764963
"35",5,"Top","bottom",0.0868389472207445,0.113982203397365,0.142875451467232
"36",5,"Top","top",0.301990842602745,0.334268144046363,0.366804529166161
"37",5,"Bottom","bottom",0.305854393969668,0.337708345724979,0.374333469094934
"38",5,"Bottom","top",0.0947664286204845,0.123934521207061,0.15309665945969
"39",5,"Control","bottom",0.00154200675765833,0.0333136860634283,0.0607226631013946
"40",5,"Control","top",5.45993910189392e-05,0.0153055111628771,0.0438192445792701
"41",6,"Full","bottom",0.220010929695809,0.24883582160154,0.277392425565769
"42",6,"Full","top",0.287702725435189,0.312387283509428,0.33632277427025
"43",6,"Top","bottom",4.5257831793132e-05,0.0117466515308224,0.0419448554667381
"44",6,"Top","top",0.288627164856921,0.30727017491869,0.32394779917714
"45",6,"Bottom","bottom",0.218302399197541,0.252303534484222,0.281865392787856
"46",6,"Bottom","top",0.0659048471295077,0.094829572322176,0.121138857178069
"47",6,"Control","bottom",4.17681261722994e-05,5.80606733722934e-05,0.000426515876805736
"48",6,"Control","top",0.00200273263948632,0.0242482899498997,0.0481823255669026
