subject,Trial Number,Condition Index,Probe Index,Sector Index,Absolute Tilt,Probe Angle,Reaction Time
4,0,1,0,9,270.0235,325.9187,4.04058
4,1,0,1,1,34.55203,44.53467,5.117432
4,2,3,1,7,265.2724,263.024,3.616958
4,3,3,1,4,149.5254,151.9378,1.950298
4,4,1,0,0,89.9024,26.83621,1.671607
4,5,1,1,7,284.4463,282.4741,2.738754
4,6,3,0,3,135.5877,117.0929,4.683296
4,7,1,1,8,318.7072,319.7127,2.371089
4,8,3,0,5,214.1189,199.5403,2.06693
4,9,0,0,5,181.1188,197.4755,5.633275
4,10,2,0,2,86.43979,85.0306,3.090346
4,11,1,1,8,292.7324,289.7665,2.238373
4,12,2,1,0,358.5518,6.108685,2.989773
4,13,0,1,7,289.7058,285.5772,3.432598
4,14,2,0,7,271.1884,276.9271,5.38938
4,15,3,1,8,320.1773,316.879,4.333507
4,16,3,0,3,146.3481,110.4472,2.116691
4,17,0,1,1,55.55511,70.51037,3.163747
4,18,2,0,2,91.37277,91.84382,1.938859
4,19,2,0,6,202.9848,234.3922,3.222265
4,20,0,1,1,44.04907,62.33635,4.015654
4,21,1,1,4,155.2759,144.9748,3.354817
4,22,3,1,5,205.1284,205.1712,1.733748
4,23,2,1,9,348.0915,350.6399,3.972765
4,24,1,1,4,178.6616,177.2938,4.239645
4,25,2,0,5,202.979,214.3414,6.021543
4,26,1,1,5,222.3943,211.2966,4.421366
4,27,3,0,5,216.1889,209.1868,2.582612
4,28,2,0,4,151.8417,157.4107,2.256157
4,29,1,1,9,333.0158,344.3838,1.939161
4,30,2,0,6,239.2061,248.4505,1.672339
4,31,3,1,4,157.1292,154.0012,3.33355
4,32,1,0,5,208.4311,210.6399,2.704763
4,33,3,1,1,68.99347,37.73718,5.700182
4,34,1,1,1,36.14429,40.46614,4.139794
4,35,1,1,6,220.1155,231.9154,2.65712
4,36,3,1,2,83.46674,85.70536,4.750296
4,37,1,1,0,43.84909,29.23811,3.272002
4,38,1,0,9,269.4766,350.0521,3.50661
4,39,2,1,8,304.0045,292.8105,2.188776
4,40,0,0,7,247.9404,279.5211,1.98261
4,41,0,1,7,301.8934,263.7699,3.883601
4,42,0,0,2,110.4005,79.99367,3.849075
4,43,1,1,2,90.27466,90.36601,3.422267
4,44,1,1,9,330.5414,341.7962,2.856245
4,45,2,0,5,203.6582,204.4255,3.022308
4,46,2,0,9,335.817,353.1769,3.207288
4,47,3,1,8,296.035,298.1221,4.751864
4,48,0,1,5,268.2593,199.7441,3.382301
4,49,2,0,4,162.8397,160.2242,1.870816
4,50,2,0,5,183.5212,191.1397,2.188517
4,51,0,0,1,80.4017,71.57651,3.27884
4,52,2,1,4,89.11349,167.9286,3.638476
4,53,3,0,4,177.4235,165.3118,3.249496
4,54,2,0,4,158.4223,151.0859,3.221451
4,55,0,0,0,88.57935,27.08118,3.465778
4,56,3,0,0,2.454956,14.96985,2.999331
4,57,0,0,0,91.56775,10.9359,3.71578
4,58,0,0,8,273.6491,319.259,3.066091
4,59,0,0,1,90.51517,58.85123,2.017486
4,60,3,1,4,170.1185,165.9394,3.183895
4,61,3,0,7,276.4644,276.757,2.767258
4,62,1,0,1,104.0667,71.49539,3.288648
4,63,3,1,9,339.9681,324.2691,2.68346
4,64,3,0,2,75.85007,75.65675,2.0172
4,65,2,0,7,254.6098,268.5282,2.137937
4,66,2,0,4,157.4838,151.1128,2.839039
4,67,2,1,3,91.39709,133.2233,3.99079
4,68,0,1,5,267.7425,201.4282,3.399584
4,69,0,0,3,154.1626,121.4967,4.266935
4,70,2,1,4,88.43704,162.9307,4.671876
4,71,1,1,0,34.23438,25.76459,4.70544
4,72,3,0,7,267.9496,273.9563,2.616683
