subject,Trial Number,Condition Index,Probe Index,Sector Index,Absolute Tilt,Probe Angle,Reaction Time
6,0,2,0,6,250.4294,247.6408,14.17395
6,1,2,0,7,299.3301,284.3962,4.806848
6,2,3,1,2,102.7191,103.9771,9.217914
6,3,0,1,9,355.5904,349.4703,5.515603
6,4,0,1,8,295.2512,297.6993,4.482872
6,5,2,0,4,176.4099,168.4124,3.689021
6,6,2,1,5,173.6492,184.4724,4.172666
6,7,3,1,7,259.9367,263.4892,7.965515
6,8,3,1,4,181.1842,178.3661,4.984227
6,9,2,1,0,58.18564,32.0181,6.33957
6,10,1,1,6,219.2556,229.9531,7.47176
6,11,0,0,6,254.6069,243.9487,14.65026
6,12,1,1,3,147.9509,113.0716,12.29014
6,13,2,0,8,338.3456,288.9877,3.406406
6,14,1,1,9,355.0513,326.2452,3.9716
6,15,3,0,5,236.1021,203.5615,2.649161
6,16,3,1,8,325.5711,322.4974,2.884016
6,17,0,1,1,68.25717,36.62988,3.799543
6,18,0,0,3,138.3674,138.4822,5.682518
6,19,3,1,0,77.034,34.56015,3.600561
6,20,1,0,2,115.0869,77.75267,6.955906
6,21,0,0,3,124.1633,132.6938,4.263528
6,22,0,1,5,267.754,209.9775,8.884537
6,23,3,0,7,269.4489,273.878,3.132965
6,24,0,1,8,319.4274,312.8732,2.680201
6,25,0,1,1,66.17471,51.83343,3.783719
6,26,2,0,1,89.34467,64.59463,4.855593
6,27,0,0,8,271.3558,311.0325,1.865204
6,28,3,0,5,175.4482,189.4119,3.033468
6,29,3,1,6,234.0317,220.1486,4.484158
6,30,1,1,3,140.5054,136.8805,3.804725
6,31,0,1,7,295.5187,258.4014,3.867464
6,32,3,0,8,328.4833,297.0165,5.118471
6,33,3,1,6,218.8939,248.1143,4.182648
6,34,2,1,0,32.80777,23.22756,7.405683
6,36,0,1,9,358.4481,359.4558,5.633191
6,37,0,1,4,155.1679,170.9185,9.5834
6,38,0,1,8,301.6701,303.8059,10.6315
6,39,2,0,1,91.5567,62.99591,13.23865
6,40,3,1,3,134.7332,124.6076,6.983646
6,41,1,1,2,87.54846,92.49839,2.35531
6,42,0,0,9,267.86,326.8901,3.36562
6,43,1,1,5,219.482,207.9359,6.722411
6,44,1,1,7,297.2527,282.9375,5.073189
6,45,2,0,5,178.8462,182.7069,2.303268
6,46,2,1,3,90.27783,113.5304,5.124312
6,47,0,0,7,243.7798,268.7331,4.083107
6,48,2,0,5,183.2038,193.7487,5.274563
6,49,2,0,6,241.3101,230.6024,3.887562
6,50,3,0,4,141.228,151.0581,4.467247
6,51,3,0,0,9.274506,7.807687,3.750481
6,52,1,0,0,50.34796,22.36967,2.139198
6,53,1,0,1,84.435,48.3335,5.706906
6,54,1,1,0,357.162,6.896894,3.440489
6,55,1,0,3,131.8072,111.9336,3.139009
6,56,1,1,5,190.1698,191.3381,5.422599
6,57,1,1,1,56.82608,48.12923,6.567621
6,58,1,1,4,158.3489,165.6884,4.940634
6,59,0,0,0,7.944794,7.382567,3.031496
6,60,1,1,9,356.5956,356.1528,4.407072
6,61,1,1,7,271.1701,256.6261,2.171587
6,62,3,0,5,237.2856,208.0243,4.550359
6,63,1,1,4,176.2308,178.6095,11.58957
6,64,0,0,6,240.479,217.6579,4.282679
6,65,2,0,0,24.4751,18.3014,2.090788
6,66,1,0,1,118.0802,65.43774,3.638043
6,67,2,0,4,180.0827,174.8597,3.789477
6,68,3,1,5,195.4003,203.5593,2.683082
6,69,2,1,9,321.2994,337.6994,2.222339
6,70,3,0,9,323.3929,331.9583,5.565592
6,71,2,0,9,359.0898,345.4007,4.688154
6,72,0,0,0,88.99738,32.69848,16.71543
6,73,3,0,2,90.9335,86.39664,4.050721
6,74,0,0,2,124.0934,94.29291,2.795779
6,75,3,0,0,359.2406,3.513187,1.683433
6,76,2,0,8,311.2223,307.3969,4.105698
6,77,2,1,5,185.6278,188.6482,4.121324
6,78,3,1,6,218.4957,230.5854,6.734141
6,79,3,1,4,180.3662,178.6757,1.999714
6,80,1,0,9,1.424469,357.8447,1.989195
6,81,0,1,3,100.7406,116.8195,4.78149
6,82,2,0,2,109.8053,102.5915,1.82142
6,83,3,1,1,63.37363,61.76502,2.900023
6,84,0,0,6,242.3271,240.5432,3.466213
6,85,2,0,8,285.4788,296.5447,8.457419
6,86,1,0,0,89.18597,32.06882,4.556715
6,87,3,0,7,284.5994,287.4497,4.949209
6,88,1,1,5,177.8461,183.0075,3.220358
6,89,3,1,2,88.9921,87.22694,3.016078
6,90,3,0,1,34.74695,56.56281,5.816447
6,91,3,0,1,88.07458,68.86581,4.116145
6,92,3,0,2,110.2368,95.71792,3.216663
6,93,2,1,7,300.0617,274.48,1.905242
6,94,0,1,3,107.6781,135.9146,3.197504
6,95,3,0,0,22.88705,31.64718,2.316425
6,96,2,1,9,359.9167,354.6297,3.25467
6,97,1,1,3,97.90152,135.0911,5.472323
6,98,3,0,3,128.1237,119.8783,5.434192
6,99,3,0,7,313.7079,287.6129,2.550186
6,100,1,1,4,172.3839,163.3951,4.138629
6,101,1,0,6,238.4339,230.3253,5.772288
6,102,1,0,4,174.9254,162.1122,5.257377
6,103,3,1,8,310.6722,321.0047,2.717312
6,104,0,1,3,90.08276,123.47,3.983207
6,105,0,1,5,229.3712,197.5229,4.382712
6,106,3,1,5,185.9786,202.6335,5.733717
6,107,1,0,9,358.9567,356.6015,3.671987
6,108,1,1,6,186.3741,216.767,3.089232
6,109,1,1,0,358.732,3.134211,2.822516
6,110,1,0,0,20.43445,13.04279,3.355587
6,111,1,1,9,307.192,329.0069,2.622139
6,112,2,1,6,259.2067,236.492,4.208122
6,113,3,0,1,62.71112,52.90431,4.665805
6,114,2,0,8,293.9483,293.4587,3.154458
6,115,3,1,6,219.0494,243.331,2.816236
6,116,2,0,2,131.2182,102.3856,2.589884
6,117,0,0,1,88.02322,44.2626,4.83297
6,118,0,0,3,119.3943,137.8813,4.246972
6,119,1,1,8,296.192,298.8667,2.740532
6,120,0,1,8,317.0576,318.7339,2.464794
6,121,1,0,7,224.3556,256.1625,2.321389
6,122,1,1,0,52.3371,23.99735,13.10743
6,123,2,0,1,94.05078,63.99589,6.122561
6,124,3,0,2,89.71292,86.71006,3.100389
6,125,3,0,5,177.6072,186.602,3.150157
6,126,2,0,7,269.8018,285.2611,2.153602
6,127,0,1,6,272.4224,247.3111,2.48186
6,128,1,0,6,235.489,241.4586,2.873592
6,129,0,0,1,100.5529,49.6523,6.449087
6,130,1,1,1,49.69717,68.48408,3.922087
6,131,1,1,5,201.3518,214.7411,1.98769
6,132,1,0,6,223.427,246.0027,2.238134
6,133,1,1,8,309.314,288.8426,2.737926
6,134,0,0,6,224.237,241.0714,3.58294
6,135,0,1,4,89.29254,155.3866,4.382895
6,136,3,0,2,97.44894,97.3759,2.467198
6,137,3,0,6,241.7455,235.0208,1.600559
6,138,0,0,6,237.9201,248.3965,2.546567
6,139,3,0,3,124.0065,116.3163,9.833545
6,140,1,1,5,220.3601,202.5909,4.605503
6,141,2,0,1,60.34326,38.28934,2.237814
6,142,0,1,7,304.5352,286.2584,7.199262
6,143,2,1,3,93.27527,119.3197,2.006162
6,144,0,1,5,199.7814,185.9468,2.314184
6,145,2,0,9,339.4227,342.5315,5.587967
6,146,2,1,5,260.7655,201.6261,8.708097
6,147,2,0,2,119.815,93.09953,3.556936
6,148,3,1,2,88.36426,97.30602,3.599736
6,149,0,1,9,359.986,350.5564,2.699796
6,150,0,0,7,234.6569,269.572,2.380408
6,151,2,0,4,152.3239,157.9635,1.673569
6,152,2,0,1,56.3378,42.45364,3.590441
6,153,1,0,1,89.50012,50.62412,4.440393
6,154,3,0,7,267.9138,265.5857,3.583125
6,155,3,0,0,1.473785,10.95576,2.499569
6,156,2,0,7,267.4481,252.3539,3.490205
6,157,3,0,6,258.4857,249.5335,3.650196
6,158,3,1,8,292.8904,291.0096,3.083581
6,159,2,0,1,67.1705,54.15184,2.85581
6,160,2,0,8,307.071,293.2061,5.306851
6,161,0,0,1,95.47748,52.36301,4.330288
6,162,3,1,7,269.8885,272.606,4.183535
6,163,0,0,4,149.2524,154.6367,4.151048
6,164,3,1,2,92.966,93.44232,3.116384
6,165,2,0,0,17.96826,20.09399,2.073154
6,166,2,0,7,269.0521,260.9269,2.938568
6,167,1,1,0,29.7359,20.72686,2.239274
6,168,0,0,9,282.015,339.2131,5.50044
6,169,1,0,9,327.1897,346.6683,3.105237
6,170,2,0,9,354.0279,353.5615,3.638618
6,171,3,0,4,171.9723,159.1747,5.0664
6,172,2,1,7,311.1323,260.022,3.323195
6,173,3,0,5,217.8019,190.5492,1.90038
6,174,1,0,0,88.59259,26.55965,5.072412
6,175,1,0,1,98.31653,63.84561,7.754877
6,176,0,1,7,301.0056,270.5469,3.91597
6,177,0,1,9,356.4783,352.9649,7.564212
6,178,2,0,4,177.3268,174.8707,5.93995
6,179,1,0,1,95.81494,59.36547,2.573229
6,180,2,0,0,359.5604,3.95731,4.468412
6,181,1,1,9,1.062836,357.761,2.489151
6,182,1,0,7,231.7263,252.1885,2.337305
6,183,0,1,6,271.0496,221.3382,4.647752
6,184,0,0,0,85.52145,14.66337,8.115982
6,185,3,0,7,304.3054,282.0232,6.69946
6,186,0,0,4,163.4109,156.9423,3.632083
6,187,3,0,1,54.01068,50.44357,4.450541
6,188,1,1,2,97.3139,86.23353,3.672594
6,189,3,0,7,274.9947,268.583,4.400404
6,190,0,1,0,42.55066,28.37699,2.0831
6,191,0,0,6,228.7393,249.3159,3.666406
6,192,3,1,6,232.1503,222.2081,4.567273
6,193,3,1,0,358.5433,7.301205,9.518827
6,194,3,1,1,60.3577,40.49336,5.100777
6,195,0,0,5,181.2757,195.2105,2.63225
6,196,0,0,6,216.344,221.96,3.515559
6,197,3,0,8,288.5629,301.8084,24.40138
6,198,0,1,6,277.2192,249.9937,6.551577
6,199,0,1,7,280.5674,263.9209,3.032855
6,200,0,0,4,127.7478,146.7095,3.064381
6,201,0,1,7,308.6233,254.575,3.066206
6,202,0,0,1,103.876,50.3347,5.148837
6,203,3,1,1,61.15201,71.85165,7.484201
6,204,2,0,4,129.7868,151.8227,3.340585
6,205,1,1,6,217.9145,229.6945,1.573236
6,206,0,0,3,146.2164,116.4203,1.516157
6,207,3,1,2,104.0587,103.0087,1.317313
6,208,3,1,7,274.5461,267.087,5.666618
6,209,1,1,6,210.7118,241.5541,2.121009
6,210,1,0,4,133.2726,154.1518,2.421198
6,211,2,1,8,298.846,299.4579,3.689388
6,212,2,0,1,53.63953,61.15252,1.638477
6,213,2,0,2,92.35413,76.36248,3.654831
6,214,3,0,5,223.32,192.428,2.483844
6,215,1,1,0,33.16333,20.11129,1.838423
6,216,1,0,0,81.27185,29.4094,8.622592
6,217,0,0,3,133.8309,122.1034,2.617884
6,218,3,1,4,181.6536,171.2491,3.783159
6,219,2,1,6,269.5692,227.4604,1.521215
6,220,3,1,3,89.95618,109.9282,2.516311
6,221,3,1,4,180.5293,173.0237,1.88294
6,222,1,1,1,50.12958,43.58175,2.772464
6,223,2,1,0,2.856995,3.40783,3.422404
6,224,1,0,1,95.36609,51.16747,2.036123
6,225,0,1,1,45.23514,60.75397,8.082164
6,226,1,0,4,164.2266,151.6257,3.672559
6,227,3,0,7,261.0835,257.568,3.932407
6,228,0,0,2,128.3982,92.54262,3.582588
6,229,0,0,0,7.277863,10.06873,5.313995
6,230,0,0,2,132.7999,72.58932,7.929598
6,231,2,0,1,60.16937,36.38622,2.789966
6,232,2,0,0,14.16983,30.98924,5.456913
6,233,3,1,0,359.2744,3.881358,3.783926
6,234,0,1,3,87.34335,109.0134,8.083655
6,235,2,1,6,290.7114,247.6112,4.071997
6,236,0,1,7,299.2253,257.4807,3.244251
6,237,1,1,8,278.8849,293.2271,7.021698
6,238,3,0,0,7.111725,23.50701,4.384
6,239,2,0,0,0.8766785,17.17416,4.672787
6,240,3,0,3,129.3945,120.7363,3.400462
6,241,1,0,0,0.9182739,4.118629,6.956306
6,242,3,0,1,64.49316,56.48686,4.699422
6,243,3,0,4,156.7816,163.3109,1.865498
6,244,1,1,3,137.2204,126.7968,4.238243
6,245,3,1,4,141.7804,151.9782,3.466977
6,246,3,0,7,280.502,285.5194,6.06718
6,247,2,0,9,359.7209,348.7378,2.208343
6,248,0,1,8,282.5743,300.3335,2.616284
6,249,0,1,0,52.09674,22.92807,3.216197
6,250,3,1,1,61.44284,69.27863,4.551059
6,251,1,1,3,145.9105,141.714,1.770492
6,253,3,1,7,261.5862,274.0429,5.200727
6,254,1,0,9,274.7756,327.0483,9.055727
6,255,2,1,6,261.0168,241.0244,8.256329
6,256,2,1,9,315.9014,328.4166,5.089412
6,257,3,0,1,76.52042,70.40208,2.000514
6,258,0,1,1,50.12573,63.31384,2.399654
6,259,0,1,6,269.6628,218.4979,1.766289
6,260,2,0,0,15.31009,23.71282,7.538018
6,261,0,1,6,268.5721,241.5654,16.88359
6,262,0,0,3,112.8883,136.8424,11.78259
6,263,3,1,0,102.3375,6.980194,4.583545
6,264,2,1,5,87.09308,192.2529,4.372148
6,265,1,1,0,358.1042,11.28027,2.171206
6,266,1,1,4,175.5258,172.0393,3.655273
6,267,1,0,5,213.0101,203.0511,7.556164
6,268,1,1,9,313.6798,326.6516,1.790118
6,269,0,0,7,239.7947,259.2437,2.216808
6,270,2,0,3,131.594,118.3612,1.271413
6,271,0,1,1,63.77896,62.80518,2.733367
6,272,2,0,5,191.7562,189.6028,3.289392
6,273,2,0,1,58.97992,48.47373,4.004734
6,274,2,1,2,69.66772,87.24277,6.258032
6,275,0,1,9,348.5039,349.8625,3.461429
6,276,1,1,7,271.8057,257.5314,8.771533
6,277,3,1,7,285.2449,279.921,3.100678
6,278,0,0,4,126.9488,147.0423,3.382921
6,279,1,1,1,47.6004,59.03584,9.289497
6,280,3,0,0,38.79163,30.53914,9.352833
6,281,3,0,5,175.4099,196.103,5.915967
6,282,3,1,8,276.4729,316.0966,10.05011
6,283,3,0,4,179.3717,170.4503,2.516369
6,284,2,1,5,268.607,213.138,6.488631
6,285,1,0,3,106.0588,137.9966,38.54298
6,286,2,0,4,105.8866,148.6898,4.455185
6,287,3,0,2,89.6958,85.33553,6.366607
6,288,2,0,6,243.5943,234.7979,4.756236
6,289,0,0,6,229.0279,237.7032,3.429471
6,290,1,1,8,312.5605,322.4713,1.938384
6,291,1,0,1,95.94757,57.70786,5.439248
6,292,3,1,0,47.54697,35.87519,14.9346
6,293,0,1,1,42.03534,37.64072,2.362947
6,294,3,0,2,114.1574,99.83526,4.516881
6,295,3,0,1,51.1272,46.52562,1.433308
6,296,0,1,5,220.283,193.1657,4.600843
6,297,2,0,2,120.8897,91.73074,3.755464
6,298,0,0,1,91.30295,40.44168,4.533818
6,299,0,0,2,140.8524,94.27346,2.432844
6,300,3,1,2,91.09851,99.5989,4.484756
6,301,0,0,7,267.1657,284.7441,3.915771
6,302,1,0,7,266.584,279.2933,2.837831
6,303,0,0,6,205.7669,216.9603,2.649765
6,304,0,1,1,45.60437,41.76769,3.115056
6,305,1,0,2,131.9167,99.23727,4.489076
6,306,3,1,1,49.57303,59.63559,4.400351
6,307,0,0,5,221.1402,213.109,2.165829
6,308,1,0,3,133.4958,125.1342,3.272234
6,309,3,1,3,128.7593,138.1167,5.30874
6,310,0,0,8,271.949,310.4104,6.500903
6,311,1,0,3,127.8054,141.7392,7.105453
6,312,0,1,3,90.77963,129.2169,2.832716
6,313,1,1,8,299.4474,290.6666,11.70632
6,314,0,1,7,297.9376,273.7921,2.465806
6,315,2,1,7,305.0671,275.2953,1.789601
6,316,3,1,2,127.1554,107.323,5.050941
6,317,2,1,1,35.95358,43.91143,3.024229
6,318,0,1,2,55.46463,88.45951,3.81381
6,319,2,0,4,177.3633,177.3979,5.240222
6,320,3,0,2,95.80499,93.07173,2.450508
6,321,0,1,5,236.4442,198.8899,6.647089
6,322,0,1,7,300.5893,259.7619,3.949229
6,323,2,0,1,80.23761,60.61496,3.573747
6,324,3,1,0,358.3042,13.0739,5.001834
6,325,0,1,8,305.8447,322.7857,4.197235
6,326,1,0,8,272.2607,294.3761,3.88822
6,327,1,1,9,291.8251,359.486,3.254491
6,328,0,0,0,87.68869,28.82432,8.982178
6,329,2,1,2,59.02429,82.91776,4.237295
6,330,0,0,5,204.044,191.1776,1.497629
6,331,0,1,6,271.0721,222.6938,4.265347
6,332,2,0,7,271.1257,264.3863,8.105999
6,333,3,1,8,294.1652,317.9928,8.884248
6,334,1,0,2,128.3007,94.01263,3.571756
6,335,1,0,0,0.7409363,3.704418,4.339451
6,336,0,1,4,179.97,178.485,4.932274
6,337,1,1,4,127.3311,154.0641,3.822711
6,338,3,1,5,192.2124,199.4186,4.767202
6,339,0,1,7,298.5085,278.6482,5.681995
6,340,2,1,1,47.8642,69.62833,3.670525
6,341,0,0,2,127.8187,80.44385,5.583402
6,342,1,0,4,180.2439,167.1379,13.18794
6,343,0,0,4,170.7763,151.9632,13.56507
6,344,2,1,7,293.0728,273.9033,5.422685
6,345,2,1,8,324.0667,310.1784,2.121418
6,346,2,1,1,51.45877,41.12371,2.47083
6,347,2,1,1,58.16794,70.88546,2.455078
6,348,2,1,1,49.58304,44.76882,4.489897
6,349,3,1,9,343.6444,343.6945,9.016326
6,350,1,0,3,148.1393,128.7792,5.523013
6,351,0,1,3,87.86069,131.6907,4.748981
6,352,1,1,5,198.8736,199.9062,6.472955
6,353,0,0,0,358.2169,1.386333,4.815891
6,354,3,0,6,249.6393,249.9294,5.000557
6,355,2,0,1,84.46338,62.71809,5.021339
6,356,0,0,6,256.3304,246.3479,4.315806
6,357,1,1,3,134.7305,140.8162,3.289872
6,358,0,0,3,123.6894,108.5399,5.34784
6,359,1,0,0,38.92899,14.35063,1.438754
6,360,0,1,0,2.02655,4.777469,3.383558
6,361,1,1,7,277.149,264.6499,7.65545
6,362,3,0,8,297.3383,294.5002,4.48354
6,363,2,1,2,67.28229,99.02718,1.321027
6,364,2,1,5,259.4752,205.8492,2.918073
6,365,1,0,6,233.9426,224.4334,1.635072
6,366,2,0,6,251.3844,238.5216,4.75684
6,367,2,0,9,0.4839783,347.9229,6.154707
6,368,0,0,7,241.1346,257.8875,4.483298
6,369,0,1,3,106.2693,115.4863,6.731594
6,370,3,1,2,90.8493,89.45729,4.049711
6,371,3,0,3,134.8359,116.2617,2.348753
6,372,3,1,3,139.7468,138.552,5.683389
6,373,0,1,0,20.01144,21.2487,1.431046
6,375,1,1,8,297.9825,318.2649,3.771551
6,376,1,0,7,228.7523,273.0864,421.5984
6,377,3,1,5,214.0333,203.5977,4.500942
6,378,3,1,2,93.40286,82.4837,4.548977
6,379,3,1,2,91.20633,88.18817,2.81555
6,380,0,1,3,89.94861,131.0596,3.14843
6,381,1,0,1,89.81873,39.63304,4.288612
6,382,2,1,5,179.5282,184.3492,3.222485
6,383,2,0,9,339.5401,336.5125,3.521664
6,384,0,1,0,41.8699,28.31774,1.832487
6,385,2,0,9,316.2834,332.7403,2.989073
6,386,1,1,8,287.8156,289.5438,2.720522
6,387,2,0,2,106.3695,79.69054,3.070595
6,388,1,1,8,294.2456,302.7108,2.656355
6,389,0,1,2,92.69724,103.7718,1.713553
6,390,2,1,7,299.5316,277.3798,4.422698
6,391,0,1,2,84.15988,104.8558,6.566767
6,392,2,1,2,63.08347,76.3852,6.306206
6,393,0,1,6,281.2472,232.1423,5.094813
6,394,2,1,9,0.07318115,346.9568,10.32366
6,395,1,1,0,30.62549,9.867836,2.789017
6,396,1,1,2,88.88611,75.76897,4.805704
6,397,3,1,5,208.8009,201.3939,4.967099
6,398,0,1,3,90.98093,136.3427,1.963264
6,399,2,1,6,300.4803,249.4773,5.1727
6,400,1,1,0,28.09601,12.22655,5.206172
6,401,1,0,9,289.6896,338.8082,3.20426
6,402,0,0,0,357.406,5.709037,4.982008
6,403,2,0,5,180.5978,187.6879,3.073063
6,404,3,0,3,133.8729,143.8012,3.416362
6,405,3,1,2,88.30551,96.18186,0.7989836
6,406,3,1,4,159.9405,157.9412,4.482838
6,407,0,1,1,42.25992,52.85867,2.963434
6,408,2,0,3,131.0533,126.4246,3.966656
6,409,3,1,2,90.66635,97.67637,3.649688
6,410,1,1,6,250.6161,228.8999,1.723
6,411,2,1,5,223.9551,194.8683,1.822178
6,412,3,1,5,195.7883,213.347,3.100633
6,413,0,1,5,187.3624,182.308,4.998911
6,414,3,1,3,118.9046,120.6578,2.883895
6,415,3,1,4,165.7485,161.3793,2.800362
6,416,0,1,8,313.7326,301.3355,2.549884
6,417,1,1,3,141.0049,127.5394,2.889344
6,418,0,0,6,243.2111,238.9638,3.83428
6,419,2,0,3,131.076,126.0065,2.821626
6,420,3,0,0,0.2102966,3.042973,4.283196
6,421,3,0,2,121.4716,92.00543,2.66641
6,422,1,1,8,307.9056,320.5704,3.404292
6,423,2,0,8,299.9487,302.2523,3.006469
6,424,3,0,7,263.3354,264.8795,3.749396
6,425,2,0,7,246.4922,253.9757,3.220906
6,426,3,0,7,254.8683,259.5728,4.550202
6,427,0,0,8,251.8138,306.7205,3.801077
6,428,2,0,9,359.7035,358.3601,9.489722
6,429,1,0,6,242.3303,228.0898,4.090777
6,430,0,0,4,129.7288,153.8201,7.681095
6,431,0,1,2,49.71414,81.73042,3.514899
6,432,3,0,3,125.1337,109.9116,4.783938
6,433,3,0,3,127.9012,136.598,2.934837
6,434,3,1,2,98.01346,106.9152,2.549758
6,435,1,1,3,127.4893,139.871,2.689577
6,436,1,0,9,318.5341,340.5741,6.055952
6,437,0,1,2,46.01031,91.2959,4.582917
6,438,0,1,0,35.43231,35.62644,4.633205
6,439,0,0,4,177.8174,177.7626,7.100576
6,440,3,1,4,140.2605,154.1573,2.283928
